gen,lokalizacja,w_jadrze,otoczka,tylko_jadro,tez_poza,dopasowanie,uniprot_gen,n_komorek_wykryty,pct_komorek,srednia_cp10k_all,mean_Aldoc_plus,mean_Aldoc_minus,log2FC_plus_vs_minus,marker_dla,marker_logFC,marker_padj,marker_score,mean_Aldoc_1,mean_Aldoc_2,mean_Aldoc_3,mean_Aldoc_4,mean_Aldoc_5,mean_Aldoc_6,mean_Aldoc_7,mean_Anti_Aldoc_1,mean_Anti_Aldoc_2,pct_Aldoc_1,pct_Aldoc_2,pct_Aldoc_3,pct_Aldoc_4,pct_Aldoc_5,pct_Aldoc_6,pct_Aldoc_7,pct_Anti_Aldoc_1,pct_Anti_Aldoc_2,loc_txt,loc_pelny,topologia
S100a6,otoczka,True,True,False,True,nazwa,S100a6,308,1.85,0.008,0.01,0.006,0.322,,,,,0.025,0.007,0.006,0.008,0.008,0.009,0.005,0.006,0.007,4.34,2.67,1.62,1.94,2.01,2.8,1.29,1.16,1.6,SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000250}. Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.,SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000250}. Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.,ONM_dostepny
Chil3,otoczka,True,True,False,True,nazwa,Chil3,38,0.23,0.001,0.001,0.001,0.0,,,,,0.001,0.0,0.002,0.0,0.001,0.001,0.0,0.001,0.001,0.16,0.0,0.36,0.06,0.27,0.25,0.0,0.19,0.22,SUBCELLULAR LOCATION: Secreted. Rough endoplasmic reticulum lumen. Nucleus envelope. Cytoplasm. Cytoplasmic granule. Note=Predominantly localizes to the lumen of rough endoplasmic reticulum (rER) and nuclear envelope in alveolar macrophages. Localizes to the dilated lumen of rER in immature neutrophils in spleen and in cytoplasmic granules in peritoneal neutrophils. Detected in needle-shaped cryst,SUBCELLULAR LOCATION: Secreted. Rough endoplasmic reticulum lumen. Nucleus envelope. Cytoplasm. Cytoplasmic granule. Note=Predominantly localizes to the lumen of rough endoplasmic reticulum (rER) and nuclear envelope in alveolar macrophages. Localizes to the dilated lumen of rER in immature neutrophils in spleen and in cytoplasmic granules in peritoneal neutrophils. Detected in needle-shaped crystals present in the cytoplasm of bone marrow macrophages.,NIEOKRESLONY
Cept1,otoczka,True,True,False,True,nazwa,Cept1,8891,53.45,0.327,0.329,0.323,0.026,,,,,0.316,0.364,0.311,0.319,0.345,0.358,0.291,0.309,0.337,48.07,65.33,54.63,56.38,53.31,58.32,41.18,44.08,56.29,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9Y6K0}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9Y6K0}. Nucleus membrane {ECO:0000250|UniProtKB:Q9Y6K0}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9Y6K0}.,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9Y6K0}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9Y6K0}. Nucleus membrane {ECO:0000250|UniProtKB:Q9Y6K0}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9Y6K0}.,NIEOKRESLONY
Rbm15,otoczka,True,True,True,False,nazwa,Rbm15,2931,17.62,0.075,0.077,0.068,0.158,,,,,0.078,0.078,0.072,0.076,0.08,0.092,0.06,0.056,0.08,15.43,26.67,18.67,18.59,17.52,21.16,11.95,11.2,19.12,"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:Q96T37}. Nucleus, nucleoplasm {ECO:0000269|PubMed:17283045}. Nucleus envelope {ECO:0000250|UniProtKB:Q96T37}. Nucleus membrane {ECO:0000250|UniProtKB:Q96T37}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q96T37}. Note=Colocalizes at the nuclear pore with DBP5 and NXF1. {ECO:0000250|UniProtKB:Q96T37}.","SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:Q96T37}. Nucleus, nucleoplasm {ECO:0000269|PubMed:17283045}. Nucleus envelope {ECO:0000250|UniProtKB:Q96T37}. Nucleus membrane {ECO:0000250|UniProtKB:Q96T37}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q96T37}. Note=Colocalizes at the nuclear pore with DBP5 and NXF1. {ECO:0000250|UniProtKB:Q96T37}.",POR_niepewny
Sort1,otoczka,True,True,False,True,nazwa,Sort1,14836,89.19,1.207,1.139,1.313,-0.203,,,,,0.973,1.142,1.155,1.139,1.125,1.237,1.204,1.345,1.282,79.9,94.67,90.52,89.35,86.51,90.82,84.74,86.91,91.83,"SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250|UniProtKB:Q99523}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q99523}. Endosome membrane {ECO:0000250|UniProtKB:Q99523}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q99523}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q99523}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:","SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250|UniProtKB:Q99523}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q99523}. Endosome membrane {ECO:0000250|UniProtKB:Q99523}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q99523}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q99523}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q99523}. Nucleus membrane {ECO:0000250|UniProtKB:Q99523}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q99523}. Cell membrane {ECO:0000250|UniProtKB:Q99523}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q99523}; Extracellular side {ECO:0000250|UniProtKB:Q99523}. Lysosome membrane {ECO:0000250|UniProtKB:Q99523}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q99523}. Note=Localized to membranes of the endoplasmic reticulum, endosomes, Golgi stack, lysosomes and nucleus. A small fraction of the protein is also localized to the plasma membrane. May also be found in SLC2A4/GLUT4 storage vesicles (GSVs) in adipocytes. Localization to the plasma membrane in adipocytes may be enhanced by insulin. {ECO:0000250|UniProtKB:Q99523}.",NIEOKRESLONY
Dnajb14,otoczka,True,True,False,True,nazwa,Dnajb14,10738,64.55,0.486,0.502,0.463,0.114,,,,,0.487,0.564,0.475,0.478,0.499,0.552,0.462,0.426,0.5,58.36,77.33,67.4,66.37,63.58,69.41,54.41,53.02,67.79,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8TBM8}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000250|UniProtKB:Q8TBM8}; Single-pass membrane protein {ECO:0000255}. Note=Localizes to the endoplasmic reticulum membrane. When overexpressed, forms membranous structures in the nucleus. {ECO:0000250|UniProtKB:Q8TBM8}.","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8TBM8}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000250|UniProtKB:Q8TBM8}; Single-pass membrane protein {ECO:0000255}. Note=Localizes to the endoplasmic reticulum membrane. When overexpressed, forms membranous structures in the nucleus. {ECO:0000250|UniProtKB:Q8TBM8}.",NIEOKRESLONY
Sigmar1,otoczka,True,True,False,True,nazwa,Sigmar1,6465,38.87,0.218,0.229,0.205,0.153,,,,,0.184,0.254,0.211,0.224,0.254,0.214,0.259,0.197,0.213,29.26,52.0,40.98,42.79,40.97,39.39,40.07,29.12,39.92,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:Q99720}. Nucleus outer membrane {ECO:0000250|UniProtKB:Q99720}. Nucleus envelope {ECO:0000269|PubMed:12730355}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q99720}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:12730355}. Membrane {ECO:0000250|UniProtKB:Q99720}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q99720}. Lipi,"SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:Q99720}. Nucleus outer membrane {ECO:0000250|UniProtKB:Q99720}. Nucleus envelope {ECO:0000269|PubMed:12730355}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q99720}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:12730355}. Membrane {ECO:0000250|UniProtKB:Q99720}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q99720}. Lipid droplet {ECO:0000269|PubMed:12730355}. Cell junction {ECO:0000250|UniProtKB:Q99720}. Cell membrane {ECO:0000250|UniProtKB:Q99720}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q99720}. Postsynaptic density membrane {ECO:0000269|PubMed:20167253}. Note=During interphase, detected at the inner and outer nuclear membrane and the endoplasmic reticulum. Detected on cytoplasmic vesicles during mitosis (By similarity). Targeted to lipid droplets, cholesterol and galactosylceramide-enriched domains of the endoplasmic reticulum (PubMed:12730355). Enriched at cell-cell communication regions, growth cone and postsynaptic structures. Localization is modulated by ligand-binding. In motor neurons it is enriched at cholinergic postsynaptic densities (PubMed:20167253). {ECO:0000250|UniProtKB:Q99720, ECO:0000269|PubMed:12730355, ECO:0000269|PubMed:20167253}.",ONM+INM_mieszany
Ndc1,otoczka,True,True,True,False,nazwa,Ndc1,4009,24.1,0.114,0.12,0.102,0.215,,,,,0.127,0.118,0.114,0.12,0.128,0.123,0.112,0.098,0.105,22.19,28.0,25.16,27.03,25.74,27.92,21.88,16.47,23.91,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250}. Nucleus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Central core structure of the nuclear pore complex. {ECO:0000250}.","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250}. Nucleus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Central core structure of the nuclear pore complex. {ECO:0000250}.",POR_niepewny
Tmem53,otoczka,True,True,True,False,nazwa,Tmem53,484,2.91,0.012,0.014,0.012,0.126,,,,,0.017,0.021,0.01,0.01,0.015,0.012,0.014,0.012,0.012,3.86,5.33,2.54,2.39,3.49,3.0,2.94,2.46,3.14,"SUBCELLULAR LOCATION: Nucleus outer membrane {ECO:0000269|PubMed:12958361, ECO:0000269|PubMed:20091084}; Single-pass membrane protein {ECO:0000305}.","SUBCELLULAR LOCATION: Nucleus outer membrane {ECO:0000269|PubMed:12958361, ECO:0000269|PubMed:20091084}; Single-pass membrane protein {ECO:0000305}.",ONM_dostepny
Zmpste24,otoczka,True,True,False,True,nazwa,Zmpste24,7439,44.72,0.254,0.245,0.257,-0.066,,,,,0.224,0.261,0.255,0.248,0.235,0.271,0.221,0.237,0.277,35.37,53.33,47.39,45.84,41.6,48.5,36.4,35.39,49.2,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O75844}; Multi-pass membrane protein {ECO:0000255}. Nucleus inner membrane {ECO:0000250|UniProtKB:O75844}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000250|UniProtKB:O75844}; Multi-pass membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000250|UniProtKB:O75844}; Multi-pass membrane ,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O75844}; Multi-pass membrane protein {ECO:0000255}. Nucleus inner membrane {ECO:0000250|UniProtKB:O75844}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000250|UniProtKB:O75844}; Multi-pass membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000250|UniProtKB:O75844}; Multi-pass membrane protein {ECO:0000255}.,INM_niedostepny
Tmem57,otoczka,True,True,False,True,synonim,Maco1,12816,77.05,0.699,0.721,0.663,0.119,,,,,0.801,0.585,0.689,0.716,0.742,0.725,0.792,0.666,0.66,75.72,81.33,79.73,79.47,77.57,79.8,71.14,68.32,77.61,SUBCELLULAR LOCATION: Rough endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P91193}; Multi-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000250|UniProtKB:P91193}; Multi-pass membrane protein {ECO:0000255}. Note=Detected in the nucleus membrane of non-neuronal cells and in axonal outgrowths of neuronal cells (PubMed:15255972). {ECO:0000269|PubMed:15255972}.,SUBCELLULAR LOCATION: Rough endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P91193}; Multi-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000250|UniProtKB:P91193}; Multi-pass membrane protein {ECO:0000255}. Note=Detected in the nucleus membrane of non-neuronal cells and in axonal outgrowths of neuronal cells (PubMed:15255972). {ECO:0000269|PubMed:15255972}.,NIEOKRESLONY
Ptchd2,otoczka,True,True,False,True,synonim,Disp3,1949,11.72,0.052,0.063,0.048,0.332,,,,,0.074,0.078,0.05,0.051,0.058,0.041,0.089,0.049,0.047,12.22,25.33,11.97,12.65,12.91,9.88,13.6,9.56,11.65,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9P2K9}; Multi-pass membrane protein {ECO:0000305}. Nucleus membrane {ECO:0000250|UniProtKB:Q9P2K9}; Multi-pass membrane protein {ECO:0000305}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:B9U3F2}; Multi-pass membrane protein {ECO:0000305}. Note=Predominantly localized to cholesterol-enriched domains within the memb,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9P2K9}; Multi-pass membrane protein {ECO:0000305}. Nucleus membrane {ECO:0000250|UniProtKB:Q9P2K9}; Multi-pass membrane protein {ECO:0000305}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:B9U3F2}; Multi-pass membrane protein {ECO:0000305}. Note=Predominantly localized to cholesterol-enriched domains within the membrane (By similarity). Localizes to cytoplasmic punctate vesicular structures (By similarity). {ECO:0000250|UniProtKB:B9U3F2, ECO:0000250|UniProtKB:Q9P2K9}.",NIEOKRESLONY
Tmem201,otoczka,True,True,True,False,nazwa,Tmem201,5947,35.75,0.182,0.181,0.18,0.008,,,,,0.179,0.18,0.188,0.181,0.186,0.168,0.183,0.176,0.184,31.83,45.33,38.33,38.24,35.08,34.74,30.7,29.79,37.26,"SUBCELLULAR LOCATION: [Isoform 2]: Nucleus inner membrane {ECO:0000250|UniProtKB:Q5SNT2}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q5SNT2}. Note=The C-terminal of isoform 2 is located on the nucleoplasmic side. During interphase, isoform 2 is distributed in the inner nuclear membrane and during mitosis, it is found in the ER but it also localizes to the polar regions of the mitotic spind","SUBCELLULAR LOCATION: [Isoform 2]: Nucleus inner membrane {ECO:0000250|UniProtKB:Q5SNT2}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q5SNT2}. Note=The C-terminal of isoform 2 is located on the nucleoplasmic side. During interphase, isoform 2 is distributed in the inner nuclear membrane and during mitosis, it is found in the ER but it also localizes to the polar regions of the mitotic spindle (By similarity). {ECO:0000250|UniProtKB:Q5SNT2}.",INM_niedostepny
Cptp,otoczka,True,True,False,True,nazwa,Cptp,882,5.3,0.022,0.021,0.024,-0.133,,,,,0.019,0.015,0.019,0.018,0.024,0.021,0.029,0.025,0.022,4.18,5.33,5.14,5.11,5.54,5.04,5.33,4.93,5.85,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q5TA50}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q5TA50}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q5TA50}. Cell membrane {ECO:0000250|UniProtKB:Q5TA50}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q5TA50}; Cytoplasmic side {ECO:0000250|UniProtKB:Q5TA50}. Endosome membrane {ECO:0000250|Uni","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q5TA50}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q5TA50}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q5TA50}. Cell membrane {ECO:0000250|UniProtKB:Q5TA50}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q5TA50}; Cytoplasmic side {ECO:0000250|UniProtKB:Q5TA50}. Endosome membrane {ECO:0000250|UniProtKB:Q5TA50}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q5TA50}. Nucleus outer membrane {ECO:0000250|UniProtKB:Q5TA50}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q5TA50}.",ONM_dostepny
Napepld,otoczka,True,True,False,True,nazwa,Napepld,3232,19.43,0.092,0.09,0.104,-0.189,,,,,0.063,0.092,0.087,0.071,0.09,0.09,0.134,0.106,0.101,11.9,28.0,19.9,17.43,18.14,18.61,22.24,17.87,22.29,"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q6IQ20}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q6IQ20}. Early endosome membrane {ECO:0000250|UniProtKB:Q6IQ20}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q6IQ20}. Nucleus envelope {ECO:0000250|UniProtKB:Q6IQ20}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q6IQ20}. Note=Localized in the proximity of the cell","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q6IQ20}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q6IQ20}. Early endosome membrane {ECO:0000250|UniProtKB:Q6IQ20}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q6IQ20}. Nucleus envelope {ECO:0000250|UniProtKB:Q6IQ20}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q6IQ20}. Note=Localized in the proximity of the cellular membranes likely through interaction with membrane phospholipids. {ECO:0000250|UniProtKB:Q6IQ20}.",NIEOKRESLONY
Nupl2,otoczka,True,True,True,False,synonim,Nup42,6185,37.18,0.206,0.206,0.201,0.034,,,,,0.25,0.165,0.205,0.207,0.212,0.207,0.196,0.206,0.196,36.98,37.33,39.81,40.23,35.39,38.37,29.6,32.25,37.6,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:O15504}. Nucleus membrane {ECO:0000250|UniProtKB:O15504}; Peripheral membrane protein {ECO:0000250|UniProtKB:O15504}; Cytoplasmic side {ECO:0000250|UniProtKB:O15504}. Note=Excluded from the nucleolus. {ECO:0000250|UniProtKB:O15504}.","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:O15504}. Nucleus membrane {ECO:0000250|UniProtKB:O15504}; Peripheral membrane protein {ECO:0000250|UniProtKB:O15504}; Cytoplasmic side {ECO:0000250|UniProtKB:O15504}. Note=Excluded from the nucleolus. {ECO:0000250|UniProtKB:O15504}.",ONM_dostepny
Atraid,otoczka,True,True,False,True,nazwa,Atraid,8346,50.17,0.3,0.283,0.299,-0.077,,,,,0.221,0.244,0.303,0.32,0.299,0.306,0.286,0.29,0.308,36.5,53.33,53.62,53.66,49.06,51.88,41.73,41.33,53.17,SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000250|UniProtKB:Q6UW56}. Cell membrane {ECO:0000250|UniProtKB:Q6UW56}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q6UW56}. Lysosome membrane {ECO:0000269|PubMed:29745899}; Multi-pass membrane protein {ECO:0000255}. Note=Colocalizes with NELL1 on the nuclear envelope and the perinuclear region. {ECO:0000250|UniProtKB:Q6UW56}.,SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000250|UniProtKB:Q6UW56}. Cell membrane {ECO:0000250|UniProtKB:Q6UW56}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q6UW56}. Lysosome membrane {ECO:0000269|PubMed:29745899}; Multi-pass membrane protein {ECO:0000255}. Note=Colocalizes with NELL1 on the nuclear envelope and the perinuclear region. {ECO:0000250|UniProtKB:Q6UW56}.,NIEOKRESLONY
Mfsd10,otoczka,True,True,False,True,synonim,Slc75a1,2244,13.49,0.06,0.062,0.056,0.126,,,,,0.08,0.061,0.072,0.055,0.058,0.053,0.058,0.058,0.055,13.18,21.33,16.58,13.21,12.78,11.54,10.85,11.06,13.54,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:31142202}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:22820041}; Multi-pass membrane protein {ECO:0000255}.,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:31142202}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:22820041}; Multi-pass membrane protein {ECO:0000255}.,INM_niedostepny
Tmem33,otoczka,True,True,False,True,nazwa,Tmem33,4440,26.69,0.124,0.137,0.113,0.257,,,,,0.14,0.164,0.123,0.127,0.134,0.144,0.126,0.11,0.116,26.21,44.0,28.88,27.25,27.7,30.53,22.24,19.56,26.47,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:31048699}; Multi-pass membrane protein {ECO:0000255}. Melanosome {ECO:0000250|UniProtKB:P57088}. Nucleus envelope {ECO:0000250|UniProtKB:P57088}. Note=Co-localizes with RTN4 at the ER sheets. {ECO:0000250|UniProtKB:P57088}.,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:31048699}; Multi-pass membrane protein {ECO:0000255}. Melanosome {ECO:0000250|UniProtKB:P57088}. Nucleus envelope {ECO:0000250|UniProtKB:P57088}. Note=Co-localizes with RTN4 at the ER sheets. {ECO:0000250|UniProtKB:P57088}.,NIEOKRESLONY
Nup54,otoczka,True,True,True,False,nazwa,Nup54,4732,28.45,0.134,0.147,0.128,0.186,,,,,0.137,0.181,0.131,0.132,0.136,0.149,0.162,0.123,0.132,25.08,41.33,29.72,29.47,27.7,32.76,29.6,21.83,29.11,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P70582}. Nucleus membrane {ECO:0000250|UniProtKB:P70582}; Peripheral membrane protein {ECO:0000250|UniProtKB:P70582}; Cytoplasmic side {ECO:0000250|UniProtKB:P70582}. Nucleus membrane {ECO:0000250|UniProtKB:P70582}; Peripheral membrane protein {ECO:0000250|UniProtKB:P70582}; Nucleoplasmic side {ECO:0000250|UniProtKB:P70582}","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P70582}. Nucleus membrane {ECO:0000250|UniProtKB:P70582}; Peripheral membrane protein {ECO:0000250|UniProtKB:P70582}; Cytoplasmic side {ECO:0000250|UniProtKB:P70582}. Nucleus membrane {ECO:0000250|UniProtKB:P70582}; Peripheral membrane protein {ECO:0000250|UniProtKB:P70582}; Nucleoplasmic side {ECO:0000250|UniProtKB:P70582}. Note=Biased towards cytoplasmic side. Central region of the nuclear pore complex, within the transporter. {ECO:0000250|UniProtKB:P70582}.",ONM+INM_mieszany
Noc4l,otoczka,True,True,False,True,nazwa,Noc4l,1269,7.63,0.031,0.029,0.03,-0.037,,,,,0.034,0.019,0.036,0.034,0.033,0.026,0.022,0.029,0.03,7.23,8.0,9.06,8.32,7.37,6.56,5.15,5.75,7.95,"SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000269|PubMed:28012024, ECO:0000269|PubMed:34675215}; Multi-pass membrane protein {ECO:0000255}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9BVI4}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9BVI4}. Cytoplasm {ECO:0000250|UniProtKB:Q9BVI4}. Cytoplasmic granule {ECO:0000250|UniProtKB:Q9BVI4}. Early endosome {ECO:0000269|PubMed:34675215}. Note=Localizes","SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000269|PubMed:28012024, ECO:0000269|PubMed:34675215}; Multi-pass membrane protein {ECO:0000255}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9BVI4}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9BVI4}. Cytoplasm {ECO:0000250|UniProtKB:Q9BVI4}. Cytoplasmic granule {ECO:0000250|UniProtKB:Q9BVI4}. Early endosome {ECO:0000269|PubMed:34675215}. Note=Localizes to the nucleolus under normal conditions but translocates to the nucleoplasm and cytoplasm under stress conditions. {ECO:0000250|UniProtKB:Q9BVI4}.",NIEOKRESLONY
Tmem120b,otoczka,True,True,True,False,nazwa,Tmem120b,4571,27.48,0.137,0.173,0.13,0.386,,,,,0.178,0.317,0.129,0.128,0.136,0.156,0.165,0.129,0.131,27.33,38.67,28.35,27.47,26.36,33.01,26.47,21.54,28.17,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:26024229}; Multi-pass membrane protein {ECO:0000255}.,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:26024229}; Multi-pass membrane protein {ECO:0000255}.,INM_niedostepny
Ran,otoczka,True,True,False,True,nazwa,Ran,6425,38.63,0.218,0.247,0.161,0.588,,,,,0.202,0.296,0.225,0.255,0.262,0.287,0.199,0.131,0.191,33.12,52.0,43.22,44.45,40.84,48.82,31.8,21.05,37.33,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18347012, ECO:0000269|PubMed:25946333}. Nucleus envelope {ECO:0000269|PubMed:25946333}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P62826}. Cytoplasm {ECO:0000269|PubMed:18347012}. Melanosome {ECO:0000250|UniProtKB:P62826}. Note=Predominantly nuclear during interphase. Becomes dispersed throughout the cytoplasm during mitosis (By similarity). Identi","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18347012, ECO:0000269|PubMed:25946333}. Nucleus envelope {ECO:0000269|PubMed:25946333}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P62826}. Cytoplasm {ECO:0000269|PubMed:18347012}. Melanosome {ECO:0000250|UniProtKB:P62826}. Note=Predominantly nuclear during interphase. Becomes dispersed throughout the cytoplasm during mitosis (By similarity). Identified by mass spectrometry in melanosome fractions from stage I to stage IV (By similarity). {ECO:0000250|UniProtKB:P62826}.",NIEOKRESLONY
Pom121,otoczka,True,True,False,True,nazwa,Pom121,4164,25.03,0.116,0.113,0.118,-0.057,,,,,0.103,0.111,0.113,0.115,0.119,0.114,0.117,0.116,0.12,19.13,33.33,26.03,27.3,24.75,25.69,22.79,20.57,26.35,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250}. Nucleus membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Note=Stably associated with the NPC throughout interphase and the endoplasmic reticulum during metaphase. {ECO:0000250}.","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250}. Nucleus membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Note=Stably associated with the NPC throughout interphase and the endoplasmic reticulum during metaphase. {ECO:0000250}.",POR_niepewny
